Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Ye M.,"Ye, Mouda (57212105866)",57212105866,Collaborative information seeking in tourism: A study of young Chinese leisure tourists visiting Australia,2019,CHIIR 2019 - Proceedings of the 2019 Conference on Human Information Interaction and Retrieval,,,,441,444,3,3,10.1145/3295750.3298979,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063162524&doi=10.1145%2f3295750.3298979&partnerID=40&md5=7a260a29d5aebd0e37c75a1fc3f3a69b,Conference paper,Final,,Scopus,2-s2.0-85063162524
Nalau J.; Becken S.; Noakes S.; Mackey B.,"Nalau, J. (56487906700); Becken, S. (55917272700); Noakes, S. (56993469000); Mackey, B. (7005695804)",56487906700; 55917272700; 56993469000; 7005695804,Mapping tourism stakeholders' weather and climate information-seeking behavior in Fiji,2017,"Weather, Climate, and Society",9,3,,377,391,14,20,10.1175/WCAS-D-16-0078.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020781552&doi=10.1175%2fWCAS-D-16-0078.1&partnerID=40&md5=084769483b32f4efaa74f94a2ef440f7,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85020781552
Tam s I.; Istv n V.,"Tam s, Iv nyi (57207778357); Istv n, Veres (57719507800)",57207778357; 57719507800,Tourism information seeking habits of Generation Z in the Covid era; [A Z gener ci¢ turisztikai inform ci¢keres‚si szok sai a Covid-‚r ban],2022,Informacios Tarsadalom,22,1,,29,48,19,1,10.22503/inftars.XXII.2022.1.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131104546&doi=10.22503%2finftars.XXII.2022.1.2&partnerID=40&md5=61bc4ca7870e65f543d7e29d3e7faf82,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85131104546
Fardous J.; Du J.T.; Choo K.-K.R.; Huang S.,"Fardous, Jannatul (57974230500); Du, Jia Tina (35219973300); Choo, Kim-Kwang Raymond (57208540261); Huang, Songshan (35214708800)",57974230500; 35219973300; 57208540261; 35214708800,Investigating mobile social media users' behaviors in tourism collaborative information seeking,2017,CHIIR 2017 - Proceedings of the 2017 Conference Human Information Interaction and Retrieval,,,,395,397,2,6,10.1145/3020165.3022167,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016982890&doi=10.1145%2f3020165.3022167&partnerID=40&md5=d51aa3abd851afcf1dab20473ac87480,Conference paper,Final,,Scopus,2-s2.0-85016982890
Carlisle S.; Ivanov S.; Dijkmans C.,"Carlisle, Sheena (55221367000); Ivanov, Stanislav (19337727400); Dijkmans, Corn‚ (56466080300)",55221367000; 19337727400; 56466080300,The digital skills divide: evidence from the European tourism industry,2023,Journal of Tourism Futures,9,2,,240,266,26,37,10.1108/JTF-07-2020-0114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099952123&doi=10.1108%2fJTF-07-2020-0114&partnerID=40&md5=3978ea8db96ee6701dd71feb9b0554b4,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85099952123
Zaragoza-S ez P.; Marco-Lajara B.; Ubeda-Garcia M.,"Zaragoza-S ez, Patrocinio (17347234600); Marco-Lajara, Bartolom‚ (55496694500); Ubeda-Garcia, Mercedes (55578413500)",17347234600; 55496694500; 55578413500,Digital skills in tourism. A study from the Next Tourism Generation (NTG) Alliance,2022,Measuring Business Excellence,26,1,,106,121,15,10,10.1108/MBE-11-2020-0151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104008848&doi=10.1108%2fMBE-11-2020-0151&partnerID=40&md5=425f1e4f70913633e62179da2396af27,Article,Final,,Scopus,2-s2.0-85104008848
Parsons D.; Choi M.; Thomas R.; Glyptou K.; Walsh K.,"Parsons, David (36783311300); Choi, Miju (56594110900); Thomas, Rhodri (8628786400); Glyptou, Kyriaki (56342220100); Walsh, Kenneth (57903738200)",36783311300; 56594110900; 8628786400; 56342220100; 57903738200,The policy responses of tourism agencies to emerging digital skills constraints: A critical assessment of six countries,2023,International Journal of Tourism Research,25,1,,97,108,11,6,10.1002/jtr.2554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138671053&doi=10.1002%2fjtr.2554&partnerID=40&md5=9536badfa73ca1cd18dbefe624269e0d,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85138671053
S nchez-Rivero M.; Guti‚rrez-Fern ndez M.; Fern ndez-Torres Y.; Gallego-Sosa C.,"S nchez-Rivero, Marcelino (36017555600); Guti‚rrez-Fern ndez, Milagros (51060954700); Fern ndez-Torres, Yakira (57194210410); Gallego-Sosa, Clara (57220588426)",36017555600; 51060954700; 57194210410; 57220588426,A gender-oriented analysis of digital skills and ICT use intensity in tourism companies in Extremadura (Spain),2023,Gender in Management,,,,,,,0,10.1108/GM-04-2022-0147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175116562&doi=10.1108%2fGM-04-2022-0147&partnerID=40&md5=8d5b5969d51d7d409ed443c516ed3476,Article,Article in press,,Scopus,2-s2.0-85175116562
Maingi S.W.; Wachira H.M.,"Maingi, Shem Wambugu (36941173100); Wachira, Hildah Mumbi (58196546100)",36941173100; 58196546100,"Digital skills and tourism workforce recovery in the post-covid-19 pandemic era: Case of small and medium-sized tourism enterprises (smtes) in Nairobi, Kenya",2022,Tourism Through Troubled Times: Challenges and Opportunities of the Tourism Industry in 21st Century,,,,21,38,17,0,10.1108/978-1-80382-311-920221002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153560299&doi=10.1108%2f978-1-80382-311-920221002&partnerID=40&md5=b0a538fc857268a84fc1a1375fd7e5e8,Book chapter,Final,,Scopus,2-s2.0-85153560299
Infante-Moro A.; Infante-Moro J.C.; Gallardo-P‚rez J.; Mart¡nez-L¢pez F.J.; Garc¡a-Ordaz M.,"Infante-Moro, Alfonso (56303541500); Infante-Moro, Juan C. (57209713190); Gallardo-P‚rez, Julia (57209717635); Mart¡nez-L¢pez, Francisco J. (57511458400); Garc¡a-Ordaz, Mercedes (49863257700)",56303541500; 57209713190; 57209717635; 57511458400; 49863257700,Training needs in digital skills in the tourism sector of Huelva,2021,"Proceedings - 11th International Conference on Virtual Campus, JICV 2021",,,,,,,7,10.1109/JICV53222.2021.9600285,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123166522&doi=10.1109%2fJICV53222.2021.9600285&partnerID=40&md5=9ea4dd9566ff4d80d2ba5b9c7c659682,Conference paper,Final,,Scopus,2-s2.0-85123166522
Moldovan A.-M.,"Moldovan, Ana-Maria (58035937700)",58035937700,Teachers? Digital Skills in Tourism Sector to Tackle the Challenges of Tourism Enterprises,2023,Lecture Notes in Networks and Systems,605 LNNS,,,413,425,12,1,10.1007/978-3-031-22375-4_33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145106025&doi=10.1007%2f978-3-031-22375-4_33&partnerID=40&md5=d2a442d86ad3c4fffbda2d95feff95b7,Conference paper,Final,,Scopus,2-s2.0-85145106025
Ivanova M.; Ivanov S.; Petkova I.,"Ivanova, Maya (55804071000); Ivanov, Stanislav (19337727400); Petkova, Irina (57248556700)",55804071000; 19337727400; 57248556700,DIGITAL SKILLS GAPS IN THE BULGARIAN TOURISM INDUSTRY; [JAZ U DIGITALNIM VJE?TINAMA U TURIZMU BUGARSKE],2022,Acta Turistica,34,2,,113,129,16,0,10.22598/at/2022.34.2.113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147996034&doi=10.22598%2fat%2f2022.34.2.113&partnerID=40&md5=a956459d5cb1894163e5d60fa54254a9,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85147996034
